                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1605,                 1.7999,                  1.611,                0.31227,                0.17801,                 0.1165,                0.07773,                  1.565,                 2.3736,                 1.9598,                0.00406,                0.00406,                0.00406
                     35,                 1.1549,                 1.7888,                 1.6007,                 0.2606,                0.17722,                 0.1227,                0.08124,                 1.5644,                 2.3416,                 1.9596,                0.00388,                0.00388,                0.00388
                     36,                 1.1524,                 1.7738,                 1.5973,                0.30979,                0.16175,                0.11699,                0.07707,                 1.6007,                 2.4565,                 1.9589,                 0.0037,                 0.0037,                 0.0037
                     37,                 1.1521,                 1.7699,                 1.6025,                0.32538,                0.19294,                0.13308,                0.08558,                 1.5181,                 2.2685,                 1.9152,                0.00352,                0.00352,                0.00352
                     38,                 1.1378,                 1.7421,                 1.5916,                0.33754,                 0.1847,                0.14251,                0.09292,                 1.5277,                 2.2287,                 1.8922,                0.00334,                0.00334,                0.00334
                     39,                 1.1349,                 1.7494,                 1.5864,                0.32232,                0.17368,                  0.129,                 0.0848,                 1.5457,                 2.2985,                 1.9267,                0.00316,                0.00316,                0.00316
                     40,                 1.1418,                 1.7336,                 1.5937,                0.27688,                 0.1872,                0.12254,                0.07933,                 1.5607,                 2.3612,                 1.9582,                0.00298,                0.00298,                0.00298
                     41,                 1.1314,                 1.6872,                 1.5806,                0.42079,                0.20421,                 0.1586,                0.10067,                 1.5236,                 2.1622,                 1.8979,                 0.0028,                 0.0028,                 0.0028
                     42,                 1.1183,                 1.6789,                 1.5701,                0.34057,                0.17546,                0.13142,                0.08602,                 1.5336,                 2.3461,                 1.9269,                0.00262,                0.00262,                0.00262
                     43,                 1.1216,                  1.663,                 1.5694,                0.29335,                  0.188,                0.14495,                0.09257,                 1.5253,                  2.239,                 1.9213,                0.00244,                0.00244,                0.00244
                     44,                 1.0989,                 1.6366,                 1.5533,                 0.3541,                0.18691,                0.14259,                0.09164,                 1.5597,                 2.3029,                 1.9307,                0.00226,                0.00226,                0.00226
                     45,                 1.2671,                 1.7894,                 1.7159,                0.20661,                0.18713,                0.12172,                0.08137,                 1.5617,                 2.3767,                 1.9588,                0.00208,                0.00208,                0.00208
                     46,                 1.2311,                 1.7241,                  1.668,                0.20569,                0.16686,                0.11851,                0.07888,                 1.5637,                 2.4088,                 1.9593,                 0.0019,                 0.0019,                 0.0019
                     47,                 1.2194,                 1.6616,                 1.6597,                 0.3283,                 0.1748,                0.12301,                0.07985,                 1.5788,                 2.4162,                 1.9469,                0.00172,                0.00172,                0.00172
                     48,                 1.2065,                 1.6377,                 1.6463,                0.20733,                0.16586,                0.11442,                0.07619,                 1.5649,                 2.4643,                 1.9369,                0.00154,                0.00154,                0.00154
                     49,                 1.1895,                 1.6108,                 1.6329,                0.26432,                0.18147,                0.12228,                0.08025,                 1.5667,                 2.4361,                  1.945,                0.00136,                0.00136,                0.00136
                     50,                 1.1766,                 1.5851,                 1.6162,                0.17539,                0.19184,                0.13499,                0.08802,                 1.5336,                  2.338,                 1.8996,                0.00118,                0.00118,                0.00118
                     51,                 1.1789,                 1.5745,                 1.6167,                0.22845,                0.17229,                0.13114,                 0.0857,                 1.5601,                 2.3866,                 1.9189,                  0.001,                  0.001,                  0.001
                     52,                 1.1889,                 1.5474,                  1.627,                0.28336,                0.19549,                0.13198,                0.08689,                 1.5187,                 2.3483,                 1.8947,                0.00082,                0.00082,                0.00082
                     53,                 1.1587,                 1.5254,                 1.6045,                 0.2804,                0.18115,                 0.1348,                0.08859,                 1.5313,                 2.3704,                 1.9047,                0.00064,                0.00064,                0.00064
                     54,                 1.1552,                 1.5106,                 1.6015,                0.27671,                0.17952,                0.12681,                0.08251,                 1.5454,                 2.4341,                 1.9224,                0.00046,                0.00046,                0.00046
